resource_type,status,access,assetIdentifier,digitizationNomination,dispositionNomination,identifier2,identifierSource2,physicalFormat,condition,generations,durationPhysical,channelConfigurationPhysical,originalCarrierLocation,date,dateType,language,itemTitle,intellectualAssetType,epsIdentifier,programName,description,genre,contributor,publisher,rightsSummary,rightsStatement,subject,relatedInstantiationID,proxyFilename,preservationFilename,filelocation,dateDigitized,filesize,channelConfigurationDigital,encoding,sampleRate,bitDepth,durationDigital,instantiationTimeStart,digitalQC,checksumString,checksumType,coverageSpatial,coverageTemporal,ancillaryMaterials
4,0,0,MD-132,digitized in house,,,,Minidisc,,,01:59:53,Mono,KBOO Archives Room,2002-10-04,unknown,,"Jello Biafra at the Crystal Ballroom, Portland, Oregon",,,,"Jello Biafra, former member of the band Dead Kennedys, speaks about politics, war, and activism.",,Jello Biafra,KBOO,Non-Saleable,,"Activism, Humor, Government/Politics, ",,,kboo_MD-132_20021004.wav,,,605 MB,mono,wav,44.1 kHz,16 bits,,,,D0460AB0625D33FF8BE64AF2606A9484,md5,,,
4,0,0,MD-133,digitized in house,,,,Minidisc,,,01:24:56,Mono,KBOO Archives Room,2002-11-12,unknown,,"Peace, Justice and Civil Liberties Conference: Ryan Amundson and Kevin Danaher",,,,"Ryan Amundson and Kevin Danaher speak at the Peace, Justice and Civil Liberties Conference at the University of Oregon, Eugene. November 11 - 17, 2002. Amundson introduces a film (not recorded) and then speaks about the death of his brother as result of the terror attacks of 9/11. He also speaks about founding Peaceful Tomorrows and his work with the Afghan Victims Fund. Danaher discusses a range of political, economic, and global issues as well as his work founding Global Exchange, the Green Festival, and his participation in the World Social Forums. Danaher discusses the need for economic democracy and grassroots globalization. ",,"Ryan Amundson, Kevin Danaher",KBOO,Non-Saleable,,"War/Peace, Military/Veterans, Civil Rights/Human Rights",,,kboo_MD-133_20021112.wav,,,429 MB,mono,wav,44.1 kHz,16 bits,,,,D0C253C0FAC42048EAD25D120220588B,md5,"United States, Afghanistan, Iraq",,
4,0,0,MD-134,digitized in house,,,,Minidisc,,,00:57:08,Mono,KBOO Archives Room,2001-05-07,unknown,,Powell's Bookstore: Sandra Steingraber on Having Faith: An Ecologist's Journey to Motherhood (2003),,,,"Steingraber speaks at Powell's books about her new book Having Faith which includes topics like pregnancy, cancer, toxic chemicals and breast feeding. She also talks about how smoking and air pollution can affect the rate of survival of eggs and sperm. Steingarber is nursing a baby while giving this lecture. She also talks about breastfeeding versus bottle feeding and the intelligence of the baby. The latter part of her read can get pretty graphic. ",,Sandra Steingraber,KBOO,Non-Saleable,,"Gender, Health, Women, Family",,,kboo_MD-134_20010507.wav,,,288 MB,mono,wav,44.1 kHz,16 bits,,,,2F3B6564A5CD2E5EB4D505BA156FBCB5,md5,,,
4,0,0,MD-135,digitized in house,,,,Minidisc,,,01:06:20,Mono,KBOO Archives Room,2000-04-27,unknown,,Reclaim Democracy: An evening with Jim Hightower,,eps00127,,,,Jim Hightower,KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","Activism, Labor, Government/Politics, Economy",,,kboo_MD-135_20000427.wav,,,335 MB,mono,wav,44.1 kHz,16 bits,,,,4A03E66367DD219F789A7B5A2C937624,md5,"Portland, Oregon, United States",,
4,0,0,MD-136,digitized in house,,,,Minidisc,,,01:23:11,Mono,KBOO Archives Room,2003-02-06,unknown,,"Responsible Wealth: William Gates, Sr. and Chuck Collins Speak at the First Unitarian Church of Portland",,,,"Presented by the Economic Justice Action Group (EJAG) of the First Unitarian Church of Portland, Responsible Wealth, and United for a Fair Economy. Chuck Collins and William Gates Sr. discuss their book, Wealth and Our Commonwealth (2003), and the actions needed to address economic inequality in the United States and preserve the estate tax. The recording includes a Q&A following the presentation. ",,"William Gates Sr., Chuck Collins, Kate Lore",KBOO,Non-Saleable,,"Economy, Legislation",,,kboo_MD-136_20030206.wav,,,420 MB,mono,wav,44.1 kHz,16 bits,,,,F45F7E64F60847A6B643246684E2E0F3,md5,United States,,
4,0,0,MD-137,digitized in house,,,,Minidisc,,,00:58:25,Mono,KBOO Archives Room,2002-08-11,unknown,,Devorah Brous Lectures Israeli-Palestinian Peace Initiatives at the First Congregational Church,,,,"Devorah Brous speaks at the First Congregational Church in Portland at an event sponsored by Building Bridges for Peace in the Middle East, KBOO, and other local organizations. In this edited recording, Brous speaks about grassroots movements for peace in Israel and the need to reframe social justice work from struggle to celebration. She address issues of settlement, terror, and constructing relationships between Palestinians and Israelis for peace. An edited recording of the Q&A follows Brous' speech. Spider Moccasin, the outreach director for KBOO, introduces the values of the community radio station and its cosponorship of the event. Middle East Peace Lecture and the First Congregational Church",,"Spider Moccasin, Trish Nelson, Devorah Brous",KBOO,Non-Saleable,,"Global Affairs, War/Peace, Civil Rights/Human Rights,",,,kboo_MD-137_20020811.wav,,,295 MB,mono,wav,44.1 kHz,16 bits,,,,8D6F2731FEE1EDE14318D549F0414B7E,md5,"Middle East, Palestine, Israel",,
4,0,0,MD-138,digitized in house,,,,Minidisc,,,01:32:20,Mono,KBOO Archives Room,2003-02-01,unknown,,PSU Black Student Union Black History Month Event: Pam Africa and Vessala Mohammad Vay Speak on Reparations,,,,"The PSU Black Student Union organized this event on campus at Portland State University during Black History Month, with cosponsorship from Reflections Bookstore. Pam Africa speaks on the difference between ""reparation"" and ""reparations"". Africa speaks about the need to continue to agitate and educate people of all communities about how acquiring reparations is an issue of unity and not division for the working class. She encourages attendees to organize within their unions, churches, community groups, and schools around the demand of reparations. Vessala Mohammad Vay discusses the legislative efforts to achieve reparations, including John Conyers H.R. 40. ",,"Pam Africa, Vessala Mohammad Vay",KPSU,Non-Saleable,This is a KPSU program,"African American, Race, Activism, Legislation, ",,,kboo_MD-138_20030201.wav,,,466 MB,mono,wav,44.1 kHz,16 bits,,,,DEE29E43BA4346163242A250F83DE735,md5,"United States, Pacific Northwest",,
4,0,0,MD-139,,,,,Minidisc,,,,,KBOO Archives Room,,unknown,,Quality Education is a Civil Rights Issue ,,,,Education is a Civil Rights Issue Starts on track 33 and ends of track 35 (Disc is physcially damaged and needs repaid before playing).,,Bob Moses,,Non-Saleable,,,,,,,,,,,,,,,,,,,,Event Information
4,0,0,MD-140d1,digitized in house,,,,Minidisc,,,00:52:04,Stereo,KBOO Archives Room,2003-04-21,unknown,,Chris Hedges Lecture on War and Empire,,eps00129,,,,Chris Hedges,KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","War/Peace, Military/Veterans, Global Affairs",,,kboo_MD-140d1_20030421.wav,,,526 MB,stereo,wav,44.1 kHz,16 bits,,,,F3238FD1F153DF14174B6076B436A035,md5,"Iraq, United States, Bosnia, El Salvador",,
4,0,0,MD-140d2,digitized in house,,,,Minidisc,,,00:39:03,Stereo,KBOO Archives Room,2003-04-21,unknown,,Chris Hedges Lecture on War and Empire,,eps00129,,,,"Chris Hedges, Lisa Hamid",KBOO,Saleable,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution “From KBOO Community Radio, Portland”. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","War/Peace, Military/Veterans, Global Affairs",,,kboo_MD-140d2_20030421.wav,,,394 MB,stereo,wav,44.1 kHz,16 bits,,,,00983D76ED39B5E8592B9DC31680BD88,md5,"Iraq, United States, Bosnia, El Salvador",,
